0,1,2,year,country,distance
-0.7352181077003478,-0.5716737508773804,0.032626911997795105,2002,PAN,3.220611234988026
-0.3070410490036011,0.5332774519920349,-0.91113144159317,2002,IND,3.5744506865039125
-0.3070431053638458,0.5332779884338379,-0.9111310839653016,2002,MDV,3.5744523630425666
-0.9144688248634337,0.7757525444030762,1.59448504447937,2002,DJI,4.084446378663886
0.6560284495353699,-0.9030422568321229,2.09121036529541,2002,NLD,2.3881507713728976
-0.2244969755411148,-1.3240426778793335,2.3412232398986816,2002,ISR,3.168581214550364
-0.5319401025772095,-1.5977734327316284,-0.9144681096076965,2002,BRB,3.193187714489467
-0.9144666194915773,0.7757535576820372,1.594486117362976,2002,KHM,4.084445463820966
-0.3070288300514221,0.5332779884338379,-0.9111350774765015,2002,TGO,3.5744433579735655
1.1375991106033323,-0.5813846588134766,-0.12780931591987607,2002,THA,1.58945273505377
1.089302659034729,-2.359323501586914,0.9753361344337464,2002,NZL,1.6324196691457669
-1.1250795125961304,-0.996481716632843,0.46325463056564326,2002,NIC,3.4887672551309046
-0.30704593658447266,0.533281147480011,-0.911129355430603,2002,GAB,3.57445552064761
-0.30704575777053833,0.5332795977592468,-0.9111295938491821,2002,KGZ,3.5744546296101674
-0.30702006816864014,0.5332816243171692,-0.9111355543136597,2002,COL,3.574439061031776
1.0893017053604124,-2.359318733215332,0.9753386378288269,2002,WSM,1.6324184470693428
1.249446392059326,-0.736688494682312,-0.5343834757804871,2002,PSE,1.6399188432631868
1.762140154838562,-1.8112663030624387,0.6276199817657471,2002,GBR,0.7049860344248691
-0.3070036768913269,0.5332960486412048,-0.911134362220764,2002,GHA,3.5744344005018003
-0.7352080941200256,-0.5716919898986816,0.03263980522751808,2002,CMR,3.2205950345466006
-0.3070348799228668,0.5332785844802856,-0.9111327528953552,2002,ECU,3.5744472560503
-1.9357420206069944,-1.6136965751647947,-1.8630855083465576,2002,CHE,4.875336245670681
0.48781368136405945,1.0005265474319458,0.7009666562080383,2002,QAT,3.0623483181230506
-0.3070449233055115,0.5332788228988647,-0.9111288785934448,2002,PNG,3.574453308649427
1.132392644882202,-0.9900369048118592,-0.1507282853126526,2002,LBN,1.428305746010007
-0.7352057695388794,-0.5716978907585144,0.03264566883444786,2002,CRI,3.2205904317759697
-0.3070147633552551,0.5332766175270081,-0.9111382961273192,2002,NRU,3.574433452745474
-0.8185734748840333,0.36120814085006714,1.740524411201477,2002,ARG,3.841638676151193
-0.7352246642112731,-0.5716762542724609,0.03262479975819588,2002,AZE,3.220617113178069
-0.3070434033870697,0.5332782864570618,-0.91113144159317,2002,ETH,3.574452886234992
-0.3070385158061981,0.5332765579223633,-0.9111332297325134,2002,MHL,3.574449016957836
-0.3070463240146637,0.533282458782196,-0.911129355430603,2002,KEN,3.574456527665756
1.4979609251022339,-0.7940052151679992,-0.3159794211387634,2002,ARE,1.319003344044805
1.0892980098724363,-2.359313488006592,0.9753382205963135,2002,HRV,1.6324181597148042
-1.935741662979126,-1.61369788646698,-1.8630867004394531,2002,SVN,4.875336554064056
-0.3070436120033264,0.5332781672477722,-0.9111307263374328,2002,ZMB,3.5744526969522354
1.3819330930709839,-4.104434967041016,0.9326391220092772,2002,MYS,2.8751478238834887
-0.22448989748954773,-1.3240400552749632,2.341230869293213,2002,CZE,3.168580067020163
1.4979610443115234,-0.7940046787261963,-0.31597936153411865,2002,OMN,1.3190034912890067
-0.3070407509803772,0.5332779884338379,-0.9111315608024597,2002,SOM,3.574450807182526
-0.735233187675476,-0.5716698169708252,0.03261638432741165,2002,COG,3.220628124740096
-0.9144685864448548,0.7757514119148254,1.594484567642212,2002,VNM,4.084445446839468
1.2494465112686155,-0.7366883754730223,-0.5343832969665527,2002,LAO,1.6399187042432717
-1.1250478029251099,-0.9965131878852845,0.4632866680622101,2002,MKD,3.4887317356596985
1.0892771482467651,-0.7676750421524048,-0.4901105761528015,2002,PLW,1.712730702009567
-0.3070189356803894,0.5332786440849304,-0.911137580871582,2002,SWZ,3.574437373880124
-0.8185798525810242,0.36121103167533875,1.7405189275741575,2002,MLT,3.841643461078138
-0.9144684672355653,0.7757514715194702,1.594483494758606,2002,NGA,4.084445091016479
-0.7352067828178407,-0.5716983675956726,0.03264637291431427,2002,AGO,3.2205911735670023
-0.8185763955116272,0.3612109124660492,1.740519881248474,2002,JPN,3.841640879500617
1.7621034383773804,-1.8112716674804688,0.627608060836792,2002,FRA,0.7050163244680951
1.0893009901046753,-2.359320640563965,0.9753364920616149,2002,DEU,1.6324194255397337
-1.9357434511184692,-1.6136947870254517,-1.8630849123001096,2002,BHS,4.875337145827072
-3.1098554134368896,-2.6914141178131104,3.0226707458496094,2002,EST,6.1420923992554455
-0.8185848593711853,0.36121323704719543,1.7405146360397339,2002,SAU,3.841647191991017
-0.3070179522037506,0.5332743525505066,-0.9111388921737671,2002,BLZ,3.5744347983754707
-3.109856128692627,-2.6914145946502686,3.0226695537567134,2002,UZB,6.142092637587607
-0.7352241277694702,-0.5716701745986938,0.03261791169643402,2002,GEO,3.2206191767523347
-0.22448670864105225,-1.3240379095077515,2.341233015060425,2002,ROU,3.1685788232675978
-0.3067910373210907,0.5332319736480713,-0.91117924451828,2002,BOL,3.574259385336235
-0.30702200531959534,0.5332848429679871,-0.9111346006393432,2002,SLV,3.5744418913988065
-0.531938374042511,-1.5977734327316284,-0.9144683480262756,2002,SVK,3.1931862657377343
-0.5319371819496155,-1.5977747440338135,-0.9144676923751832,2002,SGP,3.1931849774711596
