0,1,2,year,country,distance
-0.7352181077003478,-0.5716737508773804,0.0326269119977951,2002,PAN,3.2206112350
-0.3070410490036011,0.5332774519920349,-0.91113144159317,2002,IND,3.5744506865
-0.3070431053638458,0.5332779884338379,-0.9111310839653016,2002,MDV,3.5744523630
-0.1349188089370727,0.917182207107544,1.9943816661834717,2002,DJI,3.7307292478
2.1811416149139404,-1.938498854637146,0.0009921595919877,2002,NLD,0.7141847151
-0.2244969755411148,-1.3240426778793335,2.3412232398986816,2002,ISR,3.1685812146
-0.5319401025772095,-1.5977734327316284,-0.9144681096076964,2002,BRB,3.1931877145
-0.9144666194915771,0.7757535576820372,1.594486117362976,2002,KHM,4.0844454638
-0.3070288300514221,0.5332779884338379,-0.9111350774765016,2002,TGO,3.5744433580
1.1375991106033323,-0.5813846588134766,-0.127809315919876,2002,THA,1.5894527351
1.089302659034729,-2.359323501586914,0.9753361344337464,2002,NZL,1.6324196691
-1.1250795125961304,-0.996481716632843,0.4632546305656432,2002,NIC,3.4887672551
-0.3070459365844726,0.533281147480011,-0.911129355430603,2002,GAB,3.5744555206
-0.3070457577705383,0.5332795977592468,-0.911129593849182,2002,KGZ,3.5744546296
-0.3070200681686401,0.5332816243171692,-0.9111355543136596,2002,COL,3.5744390610
1.0893017053604124,-2.359318733215332,0.9753386378288268,2002,WSM,1.6324184471
1.249446392059326,-0.736688494682312,-0.5343834757804871,2002,PSE,1.6399188433
1.762138605117798,-1.8112610578536987,0.627612829208374,2002,GBR,0.7049829527
-0.3070036768913269,0.5332960486412048,-0.911134362220764,2002,GHA,3.5744344005
-1.935742139816284,-1.613697528839111,-1.8630861043930051,2002,CMR,4.8753366722
-0.3070348799228668,0.5332785844802856,-0.9111327528953552,2002,ECU,3.5744472561
-1.9357434511184692,-1.6136947870254517,-1.8630849123001096,2002,CHE,4.8753371458
0.4878136813640594,1.0005265474319458,0.7009666562080383,2002,QAT,3.0623483181
-0.3070449233055115,0.5332788228988647,-0.9111288785934448,2002,PNG,3.5744533086
1.132392644882202,-0.9900369048118592,-0.1507282853126526,2002,LBN,1.4283057460
-0.7352057695388794,-0.5716978907585144,0.0326456688344478,2002,CRI,3.2205904318
-0.3070147633552551,0.5332766175270081,-0.9111382961273192,2002,NRU,3.5744334527
-0.8185734748840333,0.3612081408500671,1.740524411201477,2002,ARG,3.8416386762
-0.7352246642112731,-0.5716762542724609,0.0326247997581958,2002,AZE,3.2206171132
-0.3070434033870697,0.5332782864570618,-0.91113144159317,2002,ETH,3.5744528862
-0.3070385158061981,0.5332765579223633,-0.9111332297325134,2002,MHL,3.5744490170
-0.3070463240146637,0.533282458782196,-0.911129355430603,2002,KEN,3.5744565277
-0.2244836390018463,-1.3240386247634888,2.341235637664795,2002,ARE,3.1685778599
1.0892980098724363,-2.359313488006592,0.9753382205963136,2002,HRV,1.6324181597
-3.109855890274048,-2.6914141178131104,3.022670030593872,2002,SVN,6.1420925258
-0.3070436120033264,0.5332781672477722,-0.9111307263374328,2002,ZMB,3.5744526970
1.381933093070984,-4.104434967041016,0.9326391220092772,2002,MYS,2.8751478239
1.1323930025100708,-0.9900366067886353,-0.1507278829813003,2002,CZE,1.4283053592
-0.2244867086410522,-1.3240379095077517,2.341233015060425,2002,OMN,3.1685788233
-0.3070407509803772,0.5332779884338379,-0.9111315608024596,2002,SOM,3.5744508072
-0.735233187675476,-0.5716698169708252,0.0326163843274116,2002,COG,3.2206281247
-0.9144685864448548,0.7757514119148254,1.594484567642212,2002,VNM,4.0844454468
1.2494465112686155,-0.7366883754730223,-0.5343832969665527,2002,LAO,1.6399187042
-1.12504780292511,-0.9965131878852844,0.4632866680622101,2002,MKD,3.4887317357
1.7621034383773804,-1.8112716674804688,0.627608060836792,2002,PLW,0.7050163245
-1.935741662979126,-1.61369788646698,-1.8630867004394531,2002,SWZ,4.8753365541
-0.8185798525810242,0.3612110316753387,1.7405189275741575,2002,MLT,3.8416434611
-0.9144684672355652,0.7757514715194702,1.594483494758606,2002,NGA,4.0844450910
-0.7352067828178407,-0.5716983675956726,0.0326463729143142,2002,AGO,3.2205911736
-0.8185763955116272,0.3612109124660492,1.740519881248474,2002,JPN,3.8416408795
1.089300274848938,-2.359328269958496,0.975335657596588,2002,FRA,1.6324240583
1.0893009901046753,-2.359320640563965,0.9753364920616148,2002,DEU,1.6324194255
-3.1098570823669434,-2.691414594650269,3.0226695537567134,2002,BHS,6.1420934832
-0.3070444464683532,0.5332785844802856,-0.9111312031745912,2002,EST,3.5744537287
-0.8185848593711853,0.3612132370471954,1.740514636039734,2002,SAU,3.8416471920
-0.3070179522037506,0.5332743525505066,-0.9111388921737672,2002,BLZ,3.5744347984
-0.307037889957428,0.5332770347595215,-0.9111320972442628,2002,UZB,3.5744483758
-0.7352241277694702,-0.5716701745986938,0.032617911696434,2002,GEO,3.2206191768
1.4979608058929443,-0.794005274772644,-0.3159795105457306,2002,ROU,1.3190034449
-0.3067910373210907,0.5332319736480713,-0.91117924451828,2002,BOL,3.5742593853
-0.3070220053195953,0.5332848429679871,-0.9111346006393432,2002,SLV,3.5744418914
-0.531938374042511,-1.5977734327316284,-0.9144683480262756,2002,SVK,3.1931862657
-0.5319371819496155,-1.5977747440338137,-0.9144676923751832,2002,SGP,3.1931849775
-0.7352074980735779,-0.5716878175735474,0.0326356999576091,2002,HTI,3.2205961472
-2.3831217288970947,3.225649118423462,1.840572476387024,2002,MLI,6.7684314266
-3.109856128692627,-2.691414594650269,3.0226695537567134,2002,NER,6.1420926376
