x,y
10.131098,10.408158
-4.0837684,-16.155117
-17.891758,18.9578
26.945711,1.4706423
30.836752,-6.5906773
53.554756,1.4835626
-64.391174,1.1197059
-24.897593,-4.4007926
51.645508,0.8238644
-61.786945,1.3344808
-1.2433496,-11.200236
15.997835,-22.888306
27.074757,19.349197
-16.418665,29.596027
5.4336486,10.413587
-17.638597,20.900887
61.547623,1.0027484
26.587395,6.354544
-11.538401,-20.782671
42.549732,-6.2824006
-19.817394,5.738894
26.84075,23.975266
37.64827,-8.486472
-67.80074,0.5676895
65.234,0.30206355
-2.154909,-13.084521
-50.105934,-0.6056051
30.101725,-5.8757157
63.32736,0.78964144
2.5384793,4.881284
-62.31313,1.3348858
-0.3674637,-8.783949
47.909843,-1.3497717
-2.6453252,-13.96408
-16.777386,29.628725
8.515977,10.940748
17.738394,-29.423704
15.181554,-18.812626
56.936897,1.5356448
51.608547,0.81044185
38.36346,-8.211926
1.2599568,-1.6747936
-17.858618,19.234135
3.5518005,7.5585217
-54.34484,0.5071332
-43.158974,-3.0520618
27.048866,19.868965
-17.194475,23.347544
52.431767,1.0774821
-2.8867068,-14.369797
30.512875,-6.3035297
26.444977,12.520466
-34.73369,-6.4044394
-5.8489685,-18.175337
64.172035,0.76987237
16.091066,-23.873825
-9.77928,-20.758814
57.935577,1.4939411
0.9367544,-3.5169346
27.092733,25.12056
15.208662,-18.613073
-1.7178186,-12.531901
-16.69458,30.43268
17.312798,-27.801283
27.078241,0.69892955
26.759087,19.76957
-17.466846,22.184668
26.994621,22.581451
1.6250653,0.90002835
27.783386,-2.293965
-34.047363,-6.679721
-58.377754,1.1769043
57.698246,1.5192055
-6.5278325,-18.740217
-70.203415,0.27567083
1.6500411,1.0893415
34.40599,-8.4474535
27.235165,-0.13958728
-9.704698,-20.368364
-4.33903,-16.49782
-4.4870543,-16.693514
26.591902,9.292135
14.642852,-16.563728
26.82363,2.3647237
-40.66656,-4.228285
63.08362,0.52187663
7.276064,10.921914
-1.8851824,-12.204783
-4.2662,-16.402512
-18.871965,11.716889
38.34407,-8.215852
16.701466,-25.648983
7.5631456,10.946576
-11.698277,-20.778759
16.142061,-24.149471
16.911556,-26.395868
-17.348415,24.916075
-59.471157,1.1061157
-21.87003,-0.33485395
60.067795,1.2422819
9.920217,10.561359
26.660286,4.410515
64.19738,0.23492917
-59.543358,1.3491331
36.917267,-8.544149
51.682537,0.83715475
-19.624456,6.7744985
26.852167,17.330355
28.072958,-2.6681201
54.327248,1.4441698
-10.067213,-20.465643
33.778862,-8.352599
-41.649017,-3.7665505
26.764524,2.949478
-19.784863,5.9130397
32.825176,-7.897312
-18.39566,15.377061
64.20344,0.23255202
-9.687451,-20.728758
26.681805,4.0481334
42.865543,-6.0555696
-48.467163,-0.90956503
-10.577714,-20.754732
2.5751677,5.0086813
26.66756,4.2854085
14.62527,-16.47611
-16.987535,24.84633
-59.412846,1.4489995
-65.55152,0.9466529
-66.555374,0.792927
33.384922,-8.253422
15.181585,-19.34805
-26.201538,-5.425191
4.077066,8.511613
1.895148,2.0594032
55.348495,1.5075867
43.658398,-5.404798
-18.603626,13.766184
32.579037,-7.9742393
59.16783,1.3626856
-19.43732,7.8438125
15.1566725,-18.187628
2.0500302,2.8400133
2.397415,4.361356
61.75777,0.9767896
-38.84563,-5.036151
0.88414323,-3.794991
-1.9771764,-12.775733
-23.641678,-3.1252108
50.28444,0.26858005
-45.633717,-1.9259982
